state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
FL,Glades,Florida,US,"Glades, FL",3/29/2020,0,0,0
FL,Gulf,Florida,US,"Gulf, FL",3/29/2020,0,0,0
FL,Hamilton,Florida,US,"Hamilton, FL",3/29/2020,0,0,0
FL,Hardee,Florida,US,"Hardee, FL",3/29/2020,0,0,0
FL,Hendry,Florida,US,"Hendry, FL",3/29/2020,1,0,0
FL,Hernando,Florida,US,"Hernando, FL",3/29/2020,14,0,0
FL,Highlands,Florida,US,"Highlands, FL",3/29/2020,10,1,0
FL,Hillsborough,Florida,US,"Hillsborough, FL",3/29/2020,211,2,0
FL,Holmes,Florida,US,"Holmes, FL",3/29/2020,0,0,0
FL,Indian River,Florida,US,"Indian River, FL",3/29/2020,16,0,0
FL,Jackson,Florida,US,"Jackson, FL",3/29/2020,0,0,0
FL,Jefferson,Florida,US,"Jefferson, FL",3/29/2020,0,0,0
FL,Lafayette,Florida,US,"Lafayette, FL",3/29/2020,0,0,0
FL,Lake,Florida,US,"Lake, FL",3/29/2020,34,0,0
