"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"CO","Delta","Colorado","US","Delta, CO",2020-03-21,0,0,0
"CO","Denver","Colorado","US","Denver, CO",2020-03-21,97,0,0
"CO","Dolores","Colorado","US","Dolores, CO",2020-03-21,0,0,0
"CO","Douglas","Colorado","US","Douglas, CO",2020-03-21,27,0,0
"CO","Eagle","Colorado","US","Eagle, CO",2020-03-21,74,0,0
"CO","El Paso","Colorado","US","El Paso, CO",2020-03-21,37,2,0
"CO","Elbert","Colorado","US","Elbert, CO",2020-03-21,3,0,0
"CO","Fremont","Colorado","US","Fremont, CO",2020-03-21,0,0,0
"CO","Garfield","Colorado","US","Garfield, CO",2020-03-21,7,0,0
"CO","Gilpin","Colorado","US","Gilpin, CO",2020-03-21,0,0,0
"CO","Grand","Colorado","US","Grand, CO",2020-03-21,2,0,0
"CO","Gunnison","Colorado","US","Gunnison, CO",2020-03-21,18,0,0
"CO","Hinsdale","Colorado","US","Hinsdale, CO",2020-03-21,0,0,0
"CO","Huerfano","Colorado","US","Huerfano, CO",2020-03-21,0,0,0
"CO","Jackson","Colorado","US","Jackson, CO",2020-03-21,0,0,0
"CO","Jefferson","Colorado","US","Jefferson, CO",2020-03-21,43,0,0
"CO","Kiowa","Colorado","US","Kiowa, CO",2020-03-21,0,0,0
"CO","Kit Carson","Colorado","US","Kit Carson, CO",2020-03-21,0,0,0
"CO","La Plata","Colorado","US","La Plata, CO",2020-03-21,0,0,0
"CO","Lake","Colorado","US","Lake, CO",2020-03-21,0,0,0
"CO","Larimer","Colorado","US","Larimer, CO",2020-03-21,19,0,0
"CO","Las Animas","Colorado","US","Las Animas, CO",2020-03-21,0,0,0
"CO","Lincoln","Colorado","US","Lincoln, CO",2020-03-21,0,0,0
"CO","Logan","Colorado","US","Logan, CO",2020-03-21,0,0,0
"CO","Mesa","Colorado","US","Mesa, CO",2020-03-21,2,0,0
"CO","Mineral","Colorado","US","Mineral, CO",2020-03-21,0,0,0
"CO","Moffat","Colorado","US","Moffat, CO",2020-03-21,0,0,0
"CO","Montezuma","Colorado","US","Montezuma, CO",2020-03-21,0,0,0
"CO","Montrose","Colorado","US","Montrose, CO",2020-03-21,1,0,0
"CO","Morgan","Colorado","US","Morgan, CO",2020-03-21,2,0,0
"CO","Otero","Colorado","US","Otero, CO",2020-03-21,0,0,0
"CO","Ouray","Colorado","US","Ouray, CO",2020-03-21,0,0,0
"CO","Park","Colorado","US","Park, CO",2020-03-21,1,0,0
"CO","Phillips","Colorado","US","Phillips, CO",2020-03-21,0,0,0
"CO","Pitkin","Colorado","US","Pitkin, CO",2020-03-21,15,0,0
"CO","Prowers","Colorado","US","Prowers, CO",2020-03-21,0,0,0
"CO","Pueblo","Colorado","US","Pueblo, CO",2020-03-21,3,0,0
"CO","Rio Blanco","Colorado","US","Rio Blanco, CO",2020-03-21,0,0,0
"CO","Rio Grande","Colorado","US","Rio Grande, CO",2020-03-21,0,0,0
"CO","Routt","Colorado","US","Routt, CO",2020-03-21,2,0,0
